Presented in Figure 2 D and Figure S2 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current clamp recording in SOM INs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Number per 1st pulse (Figure 2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,726.3811,247.4528,763.5651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Presented in Figure 2 G, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Control,,,,,,,,,,,,,Baclofen,,,,,,,,,,,,,CGP,,,,,,,,,,,,
NDNF IN Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13
<5Hz,0.806003,0.950981,0.918612,0.981198,0.901519,0.870201,0.82898,0.550162,0.807103175,0.878054,0.765131,0.762373,0.854676,0.771288,0.936712,0.910655,1.034751,1.2117,0.880139,1.020979,0.545178,0.91162113,0.953997,0.799036,0.763132,0.690727,0.963777,0.880487,0.967493,0.95196,0.976563,0.806263,0.859741,0.667116771,0.83567766,0.813571,0.845834,0.731309,0.876703
5-10 Hz,0.630844212,0.844362015,0.799455,0.938356,0.865195,0.798384,0.835302,0.433576,0.717693316,0.602134,0.728671,0.682348,0.772022,1.030292,1.069789,1.364651,1.086304,1.591215,0.915485,1.183921,0.54897,0.791705675,0.916258,1.260483,1.027051,0.72885,0.772887,0.833819,0.943566,0.930473,0.928511,0.73639,0.811519,0.428959264,0.707277733,0.657402,0.894674,0.627511,0.777896
>10Hz,0.574616,0.73088,0.663161,0.872377,0.772559,0.761795,0.831027,0.399051,0.591044355,0.43038,0.67016,0.503387,0.601863,1.010847,1.263257,1.666398,1.087655,1.701813,1.058281,1.458065,0.654802,0.714392856,0.960471,1.518103,1.395265,0.839365,0.648519,0.799402,0.913069,0.672815,0.844115,0.703892,0.821163,0.457056496,0.536987528,0.526969,0.73123,0.513776,0.598296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presented in Figure S1 A and B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDNF IN Nr,Input Resistance in MOhm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,160.3901,161.2297,225.7097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,154.2677,224.9739,212.6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,98.81851,144.9811,138.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,236.5744,161.1352,229.1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,153.6124,225.6567,212.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,97.24127,147.2437,138.7103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,121.7911,227.7692,224.3918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,140.3767,348.4418,340.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,122.2917,192.4943,194.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,134.8459,260.1653,297.5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,553.3054,402.2963,413.0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,298.1639,398.9754,556.9107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holding Current in pA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDNF IN Nr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,228.279,187.228,146.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,160.003,72.5012,68.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,283.319,135.484,179.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,215.046,118.561,122.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,181.587,111.135,118.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,165.676,76.5875,56.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,210.747,102.429,96.4842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,68.2182,63.0541,67.3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,91.6593,53.4518,50.8735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
